S.No,Category,Product Name,Description, MRP 
1,Jewellery,Pendant,"Sparkling Statement by Faryal(3 Pandent, 3 Earrings with 1 Chain)","  2,000 "
2,Jewellery,Earrings,Statement Earrings by  Faryal,"  1,800 "
3,Apparel,Kurtis,Set of 2 Foil Print Kurtas by Janasya-M,"  1,799 "
4,Apparel,Kurtis,Set of 2 Foil Print Kurtas by Janasya-XL,"  1,799 "
5,Apparel,Sarees,Pick Any One Lace Saree  (Black),"  2,499 "
6,Apparel,Sarees,Pick Any One Lace Saree  (Blue),"  2,499 "
7,Apparel,Sarees,Pick Any One Half and Half Saree (Black),"  2,499 "
8,Jewellery,Neclace,Pearl Necklace Set by  Jpearls,"  2,400 "
9,Apparel,Sarees,Pick Any One Lace Saree - Black,"  2,499 "
10,Apparel,Sarees,Pick Any One Lace Saree  -Blue,"  2,499 "
11,Apparel,Sarees,Pick Any One Lace Saree - Pink,"  2,499 "
12,Kitchen,Kitchen Tools,Wonderchef Manual Food Processor,"  2,000 "
13,Footwear,Casual,Desi motifs mens canvas shoes (pack of 3) size-6,"  1,497 "
14,Footwear,Casual,Desi motifs mens canvas shoes (pack of 3) size-7,"  1,497 "
15,Kitchen,Kitchen Tools,Crystal Gola & Slush   maker,"  1,499 "
16,Home,Wardrobe,Wardrobe+Shoe Rack+Organizer - Purple,"  4,999 "
17,Apparel,Jeans,Uber Urban Set of 2 Casual Denims for Women Size-32,"  1,998 "
18,Apparel,Kurtis,Aadiya Pack of 3 Stylish Cotton Kurta Size- S,"  2,997 "
19,Home Furnishing,Bedsheets,About home Beautiful abstract print double bedsheet with 2 pillow covers,  999 
20,Kitchen,Steel Grey,Slings 10pcs kitchen Storage with Spice  Rack,"  2,500 "
21,Apparel,Tops,Bloomeri Pretty Pop Collection Size -L,"  2,997 "
22,Apparel,Tops,Bloomeri Pretty Pop Collection Size -XL,"  2,997 "
23,Home Furnishing,Curtain,Frame your home with pick any one Collection 2 door curtain + 5 cushion covers + 5 door Mats -  Rust,"  2,999 "
24,Home Furnishing,Curtain,Frame your home with pick any one Collection 2 door curtain + 5 cushion covers + 5 door Mats - Red,"  2,999 "
25,Footwear,Casual,Pack of 3 Women's fashion slip on sandals SIZE - 3,"  2,997 "
26,Footwear,Casual,Pack of 3 Women's fashion slip on sandals SIZE - 4,"  2,997 "
